Date,Open,High,Low,Close,AdjClose,Volume
2024-6-12, 78.22, 79.32, 77.88, 78.50, 78.50, 322285
2024-6-11, 78.12, 78.36, 77.22, 77.90, 77.90, 314874
2024-6-10, 75.35, 78.29, 75.23, 77.74, 77.74, 317031
2024-6-7, 75.67, 76.25, 75.21, 75.53, 75.53, 280253
2024-6-6, 74.30, 75.79, 74.06, 75.55, 75.55, 291082
2024-6-5, 72.90, 74.33, 72.82, 74.07, 74.07, 307701
2024-6-4, 74.02, 74.13, 72.48, 73.25, 73.25, 408721
2024-6-3, 76.97, 77.52, 73.98, 74.22, 74.22, 443271
2024-5-31, 77.91, 78.62, 76.67, 76.99, 76.99, 345120
2024-5-30, 79.28, 79.42, 77.63, 77.91, 77.91, 373779
2024-5-29, 80.26, 80.62, 78.99, 79.23, 79.23, 259594
2024-5-28, 77.81, 80.29, 77.69, 79.83, 79.83, 334074
2024-5-24, 77.04, 78.05, 76.15, 77.72, 77.72, 299075
2024-5-23, 77.29, 78.66, 76.43, 76.87, 76.87, 330273
2024-5-22, 78.21, 78.41, 77.25, 77.57, 77.57, 314145
2024-5-21, 79.70, 79.72, 78.08, 79.26, 79.26, 371672
2024-5-20, 80.01, 80.60, 79.17, 79.80, 79.80, 85072
2024-5-17, 79.38, 80.14, 79.00, 80.06, 80.06, 94152
2024-5-16, 78.84, 79.85, 78.20, 79.23, 79.23, 230277
2024-5-15, 78.44, 78.92, 76.70, 78.63, 78.63, 321267
2024-5-14, 79.23, 79.38, 77.68, 78.02, 78.02, 307410
2024-5-13, 78.18, 79.49, 77.78, 79.12, 79.12, 287701
2024-5-10, 79.59, 79.96, 78.14, 78.26, 78.26, 281169
2024-5-9, 79.23, 79.80, 78.91, 79.26, 79.26, 272712
2024-5-8, 78.34, 79.27, 76.89, 78.99, 78.99, 355449
2024-5-7, 78.72, 79.17, 77.55, 78.38, 78.38, 327593
2024-5-6, 78.16, 79.09, 77.91, 78.48, 78.48, 297369
2024-5-3, 79.07, 79.63, 77.96, 78.11, 78.11, 324438
2024-5-2, 79.15, 79.90, 78.41, 78.95, 78.95, 359652
2024-5-1, 81.48, 81.57, 78.83, 79.00, 79.00, 441978
2024-4-30, 82.76, 83.30, 80.95, 81.93, 81.93, 400680
2024-4-29, 83.69, 83.91, 82.40, 82.63, 82.63, 336984
2024-4-26, 83.81, 84.46, 83.35, 83.85, 83.85, 244090
2024-4-25, 82.83, 83.83, 81.99, 83.57, 83.57, 314116
2024-4-24, 83.40, 83.71, 82.44, 82.81, 82.81, 329077
2024-4-23, 82.13, 83.43, 80.88, 83.36, 83.36, 355814
2024-4-22, 83.05, 83.35, 81.85, 82.85, 82.85, 313914
2024-4-19, 82.62, 86.28, 81.80, 83.14, 83.14, 76901
2024-4-18, 82.79, 83.47, 81.56, 82.73, 82.73, 84468
2024-4-17, 85.36, 85.51, 82.55, 82.69, 82.69, 259540
2024-4-16, 85.70, 86.18, 84.75, 85.36, 85.36, 241343
2024-4-15, 85.93, 86.11, 84.05, 85.41, 85.41, 343894
2024-4-12, 85.60, 87.67, 85.24, 85.66, 85.66, 369958
2024-4-11, 86.32, 86.63, 84.84, 85.02, 85.02, 388128
2024-4-10, 85.34, 86.38, 84.55, 86.21, 86.21, 373939
2024-4-9, 86.59, 86.98, 85.09, 85.23, 85.23, 314994
2024-4-8, 86.10, 87.10, 84.69, 86.43, 86.43, 393734
2024-4-5, 86.86, 87.63, 86.32, 86.91, 86.91, 353206
2024-4-4, 85.66, 87.22, 84.64, 86.59, 86.59, 359534
2024-4-3, 85.46, 86.20, 84.85, 85.43, 85.43, 322549
2024-4-2, 84.04, 85.50, 83.85, 85.15, 85.15, 344040
2024-4-1, 83.14, 84.49, 82.60, 83.71, 83.71, 321059
2024-3-28, 81.71, 83.21, 81.52, 83.17, 83.17, 293774
2024-3-27, 81.29, 81.74, 80.55, 81.35, 81.35, 249964
2024-3-26, 81.94, 82.36, 81.22, 81.62, 81.62, 235845
2024-3-25, 80.85, 82.48, 80.59, 81.95, 81.95, 300360
2024-3-22, 80.84, 81.45, 80.42, 80.63, 80.63, 231101
2024-3-21, 81.49, 81.92, 80.30, 81.07, 81.07, 266860
2024-3-20, 83.20, 83.21, 81.44, 81.68, 81.68, 351161
2024-3-19, 82.85, 83.85, 82.39, 83.47, 83.47, 76814
2024-3-18, 81.03, 83.09, 81.01, 82.72, 82.72, 84718
2024-3-15, 81.14, 81.45, 80.49, 81.04, 81.04, 185078
2024-3-14, 79.63, 81.62, 79.57, 81.26, 81.26, 297450
2024-3-13, 78.06, 79.90, 77.57, 79.72, 79.72, 316390
2024-3-12, 78.09, 78.73, 77.34, 77.56, 77.56, 309922
2024-3-11, 77.80, 78.47, 76.79, 77.93, 77.93, 329873
2024-3-8, 79.51, 79.99, 77.56, 78.01, 78.01, 347533
2024-3-7, 79.13, 79.53, 78.02, 78.93, 78.93, 432923
2024-3-6, 78.15, 80.67, 77.99, 79.13, 79.13, 371049
2024-3-5, 78.74, 79.49, 77.52, 78.15, 78.15, 436521
2024-3-4, 80.14, 80.41, 78.56, 78.74, 78.74, 347214
2024-3-1, 78.28, 80.85, 78.05, 79.97, 79.97, 363417
2024-2-29, 78.20, 79.28, 77.94, 78.26, 78.26, 317939
2024-2-28, 78.48, 79.62, 77.78, 78.54, 78.54, 330043
